b_column,a_plant,n_plants,a_units,n_units,cap_a_wankw,obs_max_b,ratio,confidence,is_residual,is_bucket,note
林口#1(萬瓩),林口發電廠,1,林一機,1,80.0,80.3,1.004,高,0,0,國字→阿拉伯
林口#2(萬瓩),林口發電廠,1,林二機,1,80.0,80.6,1.007,高,0,0,國字→阿拉伯
林口#3(萬瓩),林口發電廠,1,林三機,1,80.0,80.6,1.007,高,0,0,國字→阿拉伯
台中#1(萬瓩),台中發電廠,1,中一機,1,55.0,51.7,0.94,高,0,0,國字→阿拉伯
台中#2(萬瓩),台中發電廠,1,中二機,1,55.0,52.0,0.945,高,0,0,國字→阿拉伯
台中#3(萬瓩),台中發電廠,1,中三機,1,55.0,52.2,0.949,高,0,0,國字→阿拉伯
台中#4(萬瓩),台中發電廠,1,中四機,1,55.0,51.5,0.936,高,0,0,國字→阿拉伯
台中#5(萬瓩),台中發電廠,1,中五機,1,55.0,53.2,0.967,高,0,0,國字→阿拉伯
台中#6(萬瓩),台中發電廠,1,中六機,1,55.0,53.6,0.975,高,0,0,國字→阿拉伯
台中#7(萬瓩),台中發電廠,1,中七機,1,55.0,53.2,0.967,高,0,0,國字→阿拉伯
台中#8(萬瓩),台中發電廠,1,中八機,1,55.0,53.5,0.973,高,0,0,國字→阿拉伯
台中#9(萬瓩),台中發電廠,1,中九機,1,55.0,52.2,0.949,高,0,0,國字→阿拉伯
台中#10(萬瓩),台中發電廠,1,中十機,1,55.0,53.4,0.971,高,0,0,國字→阿拉伯
興達#1(萬瓩),興達發電廠,1,,0,0,21.1,0.0,高,0,0,燃煤機；#1#2已除役不在A
興達#2(萬瓩),興達發電廠,1,,0,0,37.8,0.0,高,0,0,燃煤機；#1#2已除役不在A
興達#3(萬瓩),興達發電廠,1,興三機,1,55.0,41.6,0.756,高,0,0,燃煤機；#1#2已除役不在A
興達#4(萬瓩),興達發電廠,1,興四機,1,55.0,51.1,0.929,高,0,0,燃煤機；#1#2已除役不在A
大林#1(萬瓩),大林發電廠,1,大一機,1,80.0,76.2,0.953,高,0,0,燃煤機
大林#2(萬瓩),大林發電廠,1,大二機,1,80.0,76.1,0.951,高,0,0,燃煤機
大潭 (#1-#9)(萬瓩),大潭發電廠,1,大潭複一機|大潭複二機|大潭複三機|大潭複四機|大潭複五機|大潭複六機|#GT7,7,498.42,710.3,1.425,中,0,0,A僅7台(複1-6+GT7)，B已含新增#8#9
通霄 (#1-#6、GT#9)(萬瓩),通霄發電廠,1,通霄複一機|通霄複二機|通霄複三機|通霄複四機|通霄複五機|通霄複六機|#GT9,7,395.19,385.7,0.976,高,0,0,完全對應7台
興達 (#1-#5)(萬瓩),興達發電廠,1,興達複一機|興達複二機|興達複三機|興達複四機|興達複五機,5,222.59,227.6,1.022,高,0,0,燃氣複循環5台
南部 (#1-#4)(萬瓩),南部發電廠,1,南部複一機|南部複二機|南部複三機|南部複四機,4,111.78,115.4,1.032,高,0,0,完全對應4台
大林(#5-#6)(萬瓩),大林發電廠,1,大六機,1,55.0,82.9,1.507,中,0,0,A僅大六機；大五機已除役
