各種發電方式之發電成本,112年 審定決算(元/度),113年 審定決算(元/度),114年 自編決算(元/度)
自發電力,,,
    火力發電,3.52,2.87,2.67
          燃  油,7.5,7.29,6.69
          燃  煤,3.43,2.5,2.2
          燃  氣,3.44,2.94,2.76
    核能發電,1.38,1.41,1.98
    抽蓄發電,5.35,4.64,4.69
    再生能源發電,2.53,2.45,2.06
          慣常水力,1.83,1.75,1.32
          風力發電,4.48,4.4,4.89
          太陽光電,4.13,3.94,4.04
          地熱,4.94,9.23,21.23
    自發電力小計,3.3,2.78,2.67
購入電力,,,
    汽電共生,3.07,2.97,2.84
    民營電廠,4.17,3.43,3.18
          燃  煤,4.13,3.27,2.76
          燃  氣,4.19,3.52,3.37
    再生能源,5.2,5.4,5.54
          慣常水力,1.83,2.13,2.16
          風力發電,6.7,6.59,6.6
          太陽光電,4.88,4.87,4.9
　　 地　　熱,6.32,6.59,6.52
　 　其他再生能源,4.21,4.2,4.28
    購入電力小計,4.29,3.94,3.81
平均發購電成本,3.59,3.13,3.04
