年度,能源別,機組名稱,開始日期,結束日期,備註
2026,水力,立霧,20250701,20260731,取水發電修復工程
2026,水力,觀一#2,20251003,20260619,
2026,水力,明潭#5,20251021,20260517,
2026,水力,清水#3,20260302,20260325,
2026,水力,石門#1,20260120,20260424,
2026,水力,天輪#2,20260302,20260325,
2026,水力,水簾,20260504,20260715,
2026,水力,松林#1,20260223,20260423,
2026,水力,天埤#2,20260428,20260601,
2026,水力,天埤#4,20260602,20260706,
2026,水力,六龜#1,20260701,20260818,
2026,水力,北山,20260907,20261108,
2026,水力,銅門#3,20261001,20261023,
2026,水力,卓蘭#1,20261001,20261225,
2026,水力,觀一#3,20261001,20270616,大修及線圈更新
2026,水力,天輪#1,20261001,20261209,
2026,水力,青山#2,20261001,20270130,
2026,水力,銅門#1,20261026,20261117,
2026,水力,明潭#4,20261114,20270418,
2026,水力,銅門#2,20261118,20261210,
2026,燃煤,林口#2,20251031,20260216,
2026,燃煤,台中#4,20251220,20260208,
2026,燃煤,大林#1,20251230,20260401,
2026,燃煤,台中#8,20260202,20260329,
2026,燃煤,台中#6,20260326,20260615,
2026,燃煤,台中#7,20261101,20270121,
2026,燃煤,林口#3,20261130,20270302,
2026,燃煤,大林#2,20261209,20270311,
2026,燃油,協和#3,20261017,20261230,
2026,燃油,台中GAS#4,20260307,20260531,
2026,燃氣,大潭#1,20251001,20260214,GT11
2026,燃氣,興達CC#3,20251101,20260205,GT31
2026,燃氣,興達CC#3,20251101,20260206,GT32
2026,燃氣,興達CC#3,20251101,20260211,GT33
2026,燃氣,興達CC#3,20251128,20260129,ST3
2026,燃氣,大潭#8,20251130,20260304,GT81
2026,燃氣,大潭#8,20251130,20260328,ST8
2026,燃氣,大潭#8,20251210,20260314,GT82
2026,燃氣,大潭#1,20251211,20260228,GT12
2026,燃氣,大潭#1,20251211,20260205,ST1
2026,燃氣,南部#1,20260118,20260417,GT11
2026,燃氣,南部#1,20260215,20260504,GT12
2026,燃氣,南部#1,20260215,20260409,ST1
2026,燃氣,通霄#3,20260311,20260411,GT31
2026,燃氣,通霄#3,20260315,20260415,GT32
2026,燃氣,通霄#3,20260315,20260411,ST3
2026,燃氣,興達CC#4,20260321,20270630,GT41
2026,燃氣,興達CC#4,20260321,20270702,GT42
2026,燃氣,興達CC#4,20260321,20270704,GT43
2026,燃氣,興達CC#4,20260417,20260618,ST4
2026,燃氣,大林#6,20260328,20260605,
2026,燃氣,通霄#1,20260429,20260624,GT11
2026,燃氣,通霄#1,20260429,20260624,GT12
2026,燃氣,通霄#1,20260429,20260621,ST1
2026,燃氣,大潭#3,20260901,20261116,GT32
2026,燃氣,大潭#3,20260905,20261115,GT31
2026,燃氣,大潭#3,20260919,20261019,ST3
2026,燃氣,通霄#6,20260924,20261208,GT61
2026,燃氣,通霄#6,20260921,20261207,GT62
2026,燃氣,通霄#6,20260924,20261207,ST6
2026,燃氣,南部#4,20261009,20261222,
2026,燃氣,大潭#9,20261021,20270118,GT91
2026,燃氣,大潭#9,20261021,20270212,ST9
2026,燃氣,大潭#9,20261031,20270128,GT92
2026,燃氣,通霄#2,20261201,20270125,GT21
2026,燃氣,通霄#2,20261204,20270128,GT22
2026,燃氣,通霄#2,20261204,20270125,ST2
2026,燃氣,大潭#2,20261223,20270312,GT22
2027,水力,明潭#4,20261114,20270418,大修
2027,水力,天埤#1,20270325,20270427,大修
2027,水力,天埤#3,20270428,20270519,大修
2027,水力,圓山#1,20270217,20270324,大修
2027,水力,后里#1,20270301,20270319,大修
2027,水力,后里#2,20270425,20270513,大修
2027,水力,青山#2,20261001,20270130,大修
2027,水力,萬大#1,20270211,20270317,大修
2027,水力,萬大#2,20270211,20270514,大修
2027,水力,觀一#3,20261001,20270616,大修及轉子磁極、定子線圈更新
2027,水力,龍澗#1,20270217,20270309,大修
2027,水力,龍澗#2,20270310,20270330,大修
2027,水力,立霧#1,20270407,20271013,大修及定子線圈更新
2027,水力,觀二#1,20271113,20280116,大修
2027,水力,明潭#1,20271021,20280623,大修及定子線圈更新
2027,水力,桂山#1,20271001,20271113,大修
2027,水力,烏來#1,20271114,20280110,大修
2027,水力,天輪#4,20271001,20271209,大修
2027,水力,青山#3,20271001,20280204,大修
2027,水力,鉅工#2,20271115,20280110,大修
2027,水力,溪口,20271027,20271127,大修
2027,水力,碧海,20271213,20280111,大修
2027,燃煤,林口#3,20261130,20270302,
2027,燃煤,台中#7,20261101,20270121,
2027,燃煤,大林#2,20261209,20270311,
2027,燃煤,台中#9,20270118,20270414,
2027,燃煤,林口#1,20270303,20270529,
2027,燃煤,台中#10,20270410,20270530,
2027,燃煤,台中#3,20270715,20270828,
2027,燃煤,台中#4,20270829,20271029,
2027,燃煤,台中#5,20271030,20271219,
2027,燃煤,大林#1,20271212,20280313,
2027,燃煤,台中#8,20271220,20270223,
2027,燃油,協和#4,20271002,20271130,
2027,燃油,台中GT#3,20271201,20280228,
2027,燃氣,大潭#9,20261021,20270118,GT91
2027,燃氣,大潭#9,20261021,20270212,ST9
2027,燃氣,大潭#9,20261031,20270128,GT92
2027,燃氣,通霄#2,20261201,20270125,GT21
2027,燃氣,通霄#2,20261204,20270128,GT22
2027,燃氣,通霄#2,20261204,20270125,ST2
2027,燃氣,大潭#2,20261223,20270312,GT22
2027,燃氣,大潭#6,20270116,20270411,GT61
2027,燃氣,大潭#6,20270122,20270417,GT62
2027,燃氣,大潭#6,20270213,20270328,ST6
2027,燃氣,通霄#3,20270228,20270425,GT31
2027,燃氣,通霄#3,20270303,20270428,GT32
2027,燃氣,通霄#3,20270303,20270425,ST3
2027,燃氣,南部#3,20270313,20270612,GT31
2027,燃氣,南部#3,20270318,20270617,GT32
2027,燃氣,南部#3,20270318,20270522,ST3
2027,燃氣,大潭#7,20270328,20270527,GT71
2027,燃氣,大潭#7,20270403,20270602,GT72
2027,燃氣,大潭#7,20270403,20270526,ST7
2027,燃氣,大潭#4,20270422,20270617,GT42
2027,燃氣,大潭#4,20270426,20270621,GT41
2027,燃氣,大潭#4,20270426,20270609,ST4
2027,燃氣,大潭#2,20270911,20271128,GT23
2027,燃氣,大潭#2,20270911,20271217,ST2
2027,燃氣,大潭#2,20270927,20271027,GT22
2027,燃氣,大潭#2,20271001,20271217,GT21
2027,燃氣,興達新#1,20271015,20280117,GT11
2027,燃氣,興達新#1,20271015,20280211,ST1
2027,燃氣,興達新#1,20271022,20280124,GT12
2027,燃氣,通霄#1,20271101,20271201,GT11
2027,燃氣,通霄#1,20271104,20271204,GT12
2027,燃氣,通霄#1,20271104,20271201,ST1
2027,燃氣,大潭#5,20271211,20280304,GT52
2027,燃氣,大潭#5,20271215,20280308,GT51
2027,燃氣,大潭#5,20271215,20280113,ST5
