電廠名稱,郵遞區號,地址-縣市鄉鎮,地址-村里,地址-街路門牌,連絡電話,傳真電話,機組名稱,商轉日期,裝置容量(瓩),燃料種類
協和發電廠,20345,基隆市,,文化路80號,(02)24248111,(02)24260450,協三機,19800316,500000,重油
協和發電廠,20345,基隆市,,文化路80號,(02)24248111,(02)24260450,協四機,19850826,500000,重油
林口發電廠,244002,新北市林口區,下福里,139之1號,(02)22062221,(02)26062261,林一機,20161006,800000,煤
林口發電廠,244002,新北市林口區,下福里,139之1號,(02)22062221,(02)26062261,林二機,20170324,800000,煤
林口發電廠,244002,新北市林口區,下福里,139之1號,(02)22062221,(02)26062261,林三機,20191024,800000,煤
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複一機,20060817,742700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複二機,20061226,742700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複三機,20071112,724700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複四機,20071112,724700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複五機,20080703,724700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,大潭複六機,20090114,724700,天然氣
大潭發電廠,32841,桃園市觀音鄉,大潭村,電廠路1號,(03)4733777,(03)4737085,#GT7,20180328,600000,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複一機,20180227,892600,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複二機,20190530,892600,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複三機,20200526,892600,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複四機,19920322,386000,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複五機,19920501,386000,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,通霄複六機,20000530,321200,天然氣
通霄發電廠,35741,苗栗縣通霄鎮,,海濱路1-31號,(037)752054,(037)755387,#GT9,20230524,180852,天然氣
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中一機,19910527,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中二機,19910825,550000,煤
